adrass,date,squre,price for meter,num of rooms,flor,year build,Day,Month,Year,total price
אנילביץ 43,14.6.2017,56,28571,5.0,1,1975,14,6,2017,1599976.0
חנה סנש 13 ראשון לציון,5.6.2017,49,22244,3.0,3,1970,5,6,2017,1089956.0
משורר השואה 6,4.6.2017,56,20714,3.0,1,1800,4,6,2017,1159984.0
משורר השואה 9,29.5.2017,47,21914,3.0,2,1970,29,5,2017,1029958.0
תורה ועבודה 9,22.5.2017,39,22307,2.0,2,1970,22,5,2017,869973.0
"ש""י עגנון 8",4.5.2017,39,33333,2.0,2,1975,4,5,2017,1299987.0
תורה ועבודה 15,3.5.2017,39,28846,4.0,3,1950,3,5,2017,1124994.0
"עגנון ש""י 11",10.4.2017,42,32738,3.0,3,1976,10,4,2017,1374996.0
שניאור זלמן 40,7.4.2017,40,33875,3.5,1,1970,7,4,2017,1355000.0
הכנסת 7,28.3.2017,46,22934,2.0,3,2004,28,3,2017,1054964.0
תדהר דוד 17,17.3.2017,36,19444,2.0,3,1974,17,3,2017,699984.0
החלוץ 3,14.3.2017,39,30769,4.0,4,1975,14,3,2017,1199991.0
אנילביץ 8,9.3.2017,63,16666,3.0,3,2000,9,3,2017,1049958.0
אנילביץ 30,8.3.2017,64,20625,4.5,2,1888,8,3,2017,1320000.0
שניאור זלמן 5,7.3.2017,78,16987,3.5,1,1990,7,3,2017,1324986.0
אנילביץ 53,5.3.2017,57,16666,3.0,3,1967,5,3,2017,949962.0
ספינת השלושה 12,3.3.2017,70,19285,3.0,3,1980,3,3,2017,1349950.0
אריאב חיים 10,16.2.2017,40,27500,3.0,3,1980,16,2,2017,1100000.0
סנש חנה 4,14.2.2017,100,15000,5.0,2,1975,14,2,2017,1500000.0
שניאור זלמן 42,8.2.2017,40,24500,2.0,3,1970,8,2,2017,980000.0
אנילביץ 5,7.2.2017,47,29148,4.0,3,1970,7,2,2017,1369956.0
כהן יעקב 36,5.2.2017,38,23684,2.0,2,1980,5,2,2017,899992.0
שניאור זלמן 37,26.1.2017,70,16285,3.0,3,1970,26,1,2017,1139950.0
תדהר דוד 11,26.1.2017,40,19375,3.0,0,1950,26,1,2017,775000.0
"עגנון ש""י 1",26.1.2017,100,13500,4.0,1,1970,26,1,2017,1350000.0
הכנסת 4,23.1.2017,70,19285,3.0,1,1980,23,1,2017,1349950.0
תורה ועבודה 2,18.1.2017,40,22500,3.0,4,1980,18,1,2017,900000.0
שניאור זלמן 40,17.1.2017,40,30250,4.0,4,1975,17,1,2017,1210000.0
"ש""י עגנון 12",12.1.2017,39,29487,3.0,2,1975,12,1,2017,1149993.0
אריאב חיים 3,12.1.2017,39,25641,3.0,2,1994,12,1,2017,999999.0
הרב מינץ 11,8.1.2017,35,27428,2.0,1,1960,8,1,2017,959980.0
אריאב חיים 21,8.1.2017,46,20652,2.5,4,1970,8,1,2017,949992.0
