adrass,date,squre,price for meter,num of rooms,flor,year build,Day,Month,Year,total price
גנות צבי 5,16.9.2014,173,19007,5.0,0,2014,16,9,2014,3288211.0
נחמוני 19,16.9.2014,230,16347,6.0,0,2010,16,9,2014,3759810.0
בירנבוים בנחלה,15.9.2014,82,19804,3.0,4,2014,15,9,2014,1623928.0
פרויקט Y ראשון לציון,14.9.2014,149,22403,5.0,14,2014,14,9,2014,3338047.0
אוזן אהרון 30,11.9.2014,203,17487,7.0,0,2012,11,9,2014,3549861.0
אשר אורנבך 5 ראשון לציון,8.9.2014,125,14840,5.0,1,2014,8,9,2014,1855000.0
גבורי ישראל 1,8.9.2014,60,16166,3.0,4,1970,8,9,2014,969960.0
בירנבוים בנחלה,2.9.2014,120,16113,5.0,5,2014,2,9,2014,1933560.0
בירנבוים בנחלה,20.8.2014,120,15833,4.0,5,2014,20,8,2014,1899960.0
פרויקט Y ראשון לציון,19.8.2014,169,21460,5.0,13,2014,19,8,2014,3626740.0
בירנבוים בנחלה,12.8.2014,120,18500,5.0,4,2014,12,8,2014,2220000.0
עמיחי בנחלה,7.8.2014,126,14269,5.0,1,2014,7,8,2014,1797894.0
בירנבוים בנחלה,6.8.2014,120,18750,5.0,6,2014,6,8,2014,2250000.0
נחלת יהודה 6,6.8.2014,200,14500,6.0,0,2013,6,8,2014,2900000.0
עמיחי בנחלה,22.7.2014,126,14206,5.0,1,2014,22,7,2014,1789956.0
העינב 5,15.7.2014,270,16111,7.0,0,1980,15,7,2014,4349970.0
1 5,14.7.2014,214,15233,8.0,0,2012,14,7,2014,3259862.0
פרשקובסקי בנחלת החדשה,13.7.2014,169,15532,5.0,1,2010,13,7,2014,2624908.0
Y7 נחלת יהודה - ראשון לציון,6.7.2014,175,18407,5.0,9,2014,6,7,2014,3221225.0
פרויקט Y ראשון לציון,26.6.2014,100,18500,4.0,1,2014,26,6,2014,1850000.0
בראשית - נחלת יהודה ראשון לציון,26.6.2014,130,25740,5.0,9,2012,26,6,2014,3346200.0
בירנבוים בנחלה,25.6.2014,105,18714,4.0,5,2014,25,6,2014,1964970.0
שורשים בנחלה ראשון לציון,16.6.2014,80,20575,3.0,2,2012,16,6,2014,1646000.0
Y7 נחלת יהודה - ראשון לציון,10.6.2014,117,17222,5.0,1,2015,10,6,2014,2014974.0
העצמאות 38,27.5.2014,320,15671,7.0,0,2014,27,5,2014,5014720.0
גבורי ישראל 3,25.5.2014,60,15500,3.0,3,1970,25,5,2014,930000.0
פרויקט Y ראשון לציון,11.5.2014,104,18886,4.0,10,2014,11,5,2014,1964144.0
אוזן אהרון 12,28.4.2014,180,19583,6.0,0,2013,28,4,2014,3524940.0
בראשית - נחלת יהודה ראשון לציון,23.4.2014,154,19494,5.0,8,2014,23,4,2014,3002076.0
עמיחי בנחלה,13.4.2014,113,16106,5.0,2,2014,13,4,2014,1819978.0
עמיחי בנחלה,10.4.2014,126,17460,5.0,0,2014,10,4,2014,2199960.0
נחלת יהודה 38,10.4.2014,296,11317,6.0,0,2011,10,4,2014,3349832.0
פרשקובסקי בנחלת החדשה,9.4.2014,180,13055,5.0,7,2012,9,4,2014,2349900.0
מלל ניסים 24,8.4.2014,210,16428,5.0,0,2014,8,4,2014,3449880.0
עובדיה 45,27.3.2014,296,11317,5.0,0,2011,27,3,2014,3349832.0
צרפתי יוניק ראשון לציון,26.3.2014,150,13866,5.0,5,2010,26,3,2014,2079900.0
אוזן אהרון 4,26.3.2014,183,16393,4.0,0,2013,26,3,2014,2999919.0
אוזן אהרון 17,11.3.2014,370,9518,6.0,0,2014,11,3,2014,3521660.0
עמיחי בנחלה,5.3.2014,114,16163,5.0,3,2014,5,3,2014,1842582.0
מידן עמירם 18,3.3.2014,312,12371,5.0,0,2011,3,3,2014,3859752.0
העינב 12,26.2.2014,321,13084,8.0,0,2013,26,2,2014,4199964.0
פרשקובסקי בנחלת החדשה,25.2.2014,100,20800,4.0,7,2012,25,2,2014,2080000.0
בירנבוים בנחלה,24.2.2014,104,18347,4.0,6,2014,24,2,2014,1908088.0
עמיחי בנחלה,20.2.2014,100,17300,4.0,4,2014,20,2,2014,1730000.0
Y7 נחלת יהודה - ראשון לציון,18.2.2014,117,19230,5.0,0,2014,18,2,2014,2249910.0
דוד הראובני 4,16.2.2014,150,18666,6.0,0,2013,16,2,2014,2799900.0
Y7 נחלת יהודה - ראשון לציון,13.2.2014,117,15213,5.0,1,2015,13,2,2014,1779921.0
בוטיק נחלת יהודה,12.2.2014,90,18722,3.0,3,2012,12,2,2014,1684980.0
אשר אורנבך 5 ראשון לציון,9.2.2014,125,14800,5.0,2,2014,9,2,2014,1850000.0
המוכתר 18,7.2.2014,160,20500,8.0,1,2003,7,2,2014,3280000.0
פרשקובסקי בנחלת החדשה,27.1.2014,100,17600,4.0,3,2012,27,1,2014,1760000.0
עמיחי בנחלה,26.1.2014,130,23076,5.0,11,2013,26,1,2014,2999880.0
פרויקט Y ראשון לציון,19.1.2014,126,17890,5.0,6,2013,19,1,2014,2254140.0
אשר אורנבך 5 ראשון לציון,14.1.2014,125,17160,5.0,0,2015,14,1,2014,2145000.0
בוטיק נחלת יהודה,7.1.2014,125,16400,5.0,0,2012,7,1,2014,2050000.0
Y7 נחלת יהודה - ראשון לציון,7.1.2014,117,18701,5.0,1,2013,7,1,2014,2188017.0
הנחלה 1,30.12.2013,100,32000,4.0,1,2013,30,12,2013,3200000.0
נחלת יהודה 6,30.12.2013,140,23928,5.0,0,2013,30,12,2013,3349920.0
