adrass,date,squre,price for meter,num of rooms,flor,year build,Day,Month,Year,total price
"הרשב""א 10",13.10.2014,70,19500,4.0,2,1995,13,10,2014,1365000.0
"ריב""ל 4",12.10.2014,94,15957,3.5,4,1996,12,10,2014,1499958.0
תור הזהב 11,12.10.2014,65,19769,3.0,1,1996,12,10,2014,1284985.0
קלישר 6,6.10.2014,108,21250,5.0,1,1997,6,10,2014,2295000.0
הנגיד 7,2.10.2014,63,18888,3.0,2,2002,2,10,2014,1189944.0
מורשת ישראל 9,30.9.2014,82,16585,4.0,1,1997,30,9,2014,1359970.0
"נריה,נרב 4",30.9.2014,72,19583,3.0,2,1996,30,9,2014,1409976.0
אלקבץ 5,29.9.2014,94,18404,4.0,10,2007,29,9,2014,1729976.0
אונטרמן 6,29.9.2014,98,15000,4.0,1,1996,29,9,2014,1470000.0
"נריה,נרב 6",23.9.2014,120,16791,5.0,8,1997,23,9,2014,2014920.0
אלקבץ 3,23.9.2014,65,20769,3.0,2,1978,23,9,2014,1349985.0
"הרשב""א 8",17.9.2014,70,19428,3.0,3,1995,17,9,2014,1359960.0
אלקבץ 7,15.9.2014,154,18506,5.0,11,1997,15,9,2014,2849924.0
שלונסקי 18 ראשון לציון,14.9.2014,125,20960,5.0,0,2010,14,9,2014,2620000.0
1 14,8.9.2014,92,17282,4.0,1,1996,8,9,2014,1589944.0
בן סרוק 16,4.9.2014,65,19538,3.0,4,1997,4,9,2014,1269970.0
אבן גבירול 10,3.9.2014,115,16956,5.0,0,1996,3,9,2014,1949940.0
אלתרמן 8,1.9.2014,107,21962,5.0,0,1998,1,9,2014,2349934.0
"הרשב""א 4",27.8.2014,69,20181,3.0,10,1997,27,8,2014,1392489.0
קאפח 11,27.8.2014,75,19333,4.0,4,1999,27,8,2014,1449975.0
בובר מרטין 70,26.8.2014,233,15450,7.0,0,2000,26,8,2014,3599850.0
אונטרמן 14,25.8.2014,66,18181,3.0,1,1990,25,8,2014,1199946.0
"הרשב""א 17",13.8.2014,65,19461,3.0,6,1970,13,8,2014,1264965.0
מורשת ישראל 12,7.8.2014,65,20107,3.0,5,1999,7,8,2014,1306955.0
הרבי מלובביץ 12,7.8.2014,126,19047,5.0,3,1998,7,8,2014,2399922.0
הנגיד 9,6.8.2014,63,20984,3.0,11,1998,6,8,2014,1321992.0
נסיה 9,23.7.2014,42,26904,2.5,3,2002,23,7,2014,1129968.0
הרבי מלובביץ 7,22.7.2014,127,17716,5.0,3,1999,22,7,2014,2249932.0
הנגיד 12,20.7.2014,65,19230,3.0,6,1998,20,7,2014,1249950.0
נסיה 9,17.7.2014,41,25609,2.0,6,2004,17,7,2014,1049969.0
הנגיד 5,13.7.2014,69,19108,3.0,1,1997,13,7,2014,1318452.0
הנגיד 35,9.7.2014,75,18733,3.0,10,2001,9,7,2014,1404975.0
הנגיד 3,2.7.2014,100,17100,4.0,10,1990,2,7,2014,1710000.0
"הרשב""א 15",30.6.2014,108,16435,4.0,8,1997,30,6,2014,1774980.0
בן סרוק 4,27.6.2014,100,15200,4.5,1,1995,27,6,2014,1520000.0
נסיה 15,25.6.2014,98,17122,4.0,2,1998,25,6,2014,1677956.0
בן סרוק 10,18.6.2014,108,16574,5.0,2,1995,18,6,2014,1789992.0
גדולי ישראל 11,15.6.2014,65,20384,3.0,1,2000,15,6,2014,1324960.0
נסיה 9,12.6.2014,42,25357,2.5,2,2000,12,6,2014,1064994.0
אלקבץ 3,10.6.2014,94,17872,4.0,9,1999,10,6,2014,1679968.0
גור 4,9.6.2014,66,19318,3.0,1,1998,9,6,2014,1274988.0
שלונסקי 9,8.6.2014,100,17375,4.0,1,2008,8,6,2014,1737500.0
קאפח 5,6.6.2014,114,16403,5.0,10,1998,6,6,2014,1869942.0
הרבי מלובביץ 2,2.6.2014,85,18235,4.0,2,1999,2,6,2014,1549975.0
אלקבץ 11,26.5.2014,100,16500,4.0,9,1998,26,5,2014,1650000.0
הרבי מלובביץ 9,23.5.2014,100,15100,4.0,10,1997,23,5,2014,1510000.0
בורלא 19,22.5.2014,206,13640,6.0,0,1997,22,5,2014,2809840.0
גור 17,21.5.2014,83,19277,4.0,2,2006,21,5,2014,1599991.0
מורשת ישראל 9,20.5.2014,65,18461,3.0,2,1995,20,5,2014,1199965.0
נסיה 17,20.5.2014,100,15800,4.0,3,1996,20,5,2014,1580000.0
נסיה 8,19.5.2014,134,17537,5.0,10,1997,19,5,2014,2349958.0
קאפח 11,16.5.2014,117,16666,6.0,5,1997,16,5,2014,1949922.0
בן סרוק 6,15.5.2014,66,19219,3.0,2,2010,15,5,2014,1268454.0
השירה העברית 6,14.5.2014,66,19166,3.0,4,1997,14,5,2014,1264956.0
נסיה 8,30.4.2014,72,18472,3.0,1,1997,30,4,2014,1329984.0
נסיה 9,23.4.2014,41,27439,2.5,3,2000,23,4,2014,1124999.0
אונטרמן 6,8.4.2014,95,16210,4.0,1,1997,8,4,2014,1539950.0
נסיה 11,8.4.2014,107,15327,4.0,2,1996,8,4,2014,1639989.0
"הרשב""א 13",7.4.2014,119,17016,4.5,11,1998,7,4,2014,2024904.0
"ריב""ל 10",6.4.2014,93,17204,4.0,5,1998,6,4,2014,1599972.0
גור ,3.4.2014,98,15714,4.0,1,2002,3,4,2014,1539972.0
"ריב""ל 14",1.4.2014,93,17204,4.0,3,1996,1,4,2014,1599972.0
נסיה 17,31.3.2014,117,16410,5.0,3,1998,31,3,2014,1919970.0
אלחריזי 5,31.3.2014,141,17021,6.0,0,1996,31,3,2014,2399961.0
הרב אונטרמן 4 ראשון לציון,24.3.2014,112,15714,5.0,5,2012,24,3,2014,1759968.0
בן סרוק 8,23.3.2014,128,13906,5.0,1,1990,23,3,2014,1779968.0
אבן גבירול 18,18.3.2014,100,15900,4.0,2,1995,18,3,2014,1590000.0
שלונסקי 36,16.3.2014,74,15540,3.0,2,1975,16,3,2014,1149960.0
אלקבץ 13,13.3.2014,109,17247,5.0,6,2002,13,3,2014,1879923.0
"ריב""ל 10",2.3.2014,100,16800,4.5,7,1997,2,3,2014,1680000.0
קאפח 9,28.2.2014,103,15873,4.0,10,1998,28,2,2014,1634919.0
נסיה 12,27.2.2014,71,18380,3.0,4,1997,27,2,2014,1304980.0
קאפח 3,25.2.2014,114,16228,5.0,9,1997,25,2,2014,1849992.0
גדולי ישראל 9,25.2.2014,65,20000,3.0,1,1996,25,2,2014,1300000.0
אבא קובנר 11,25.2.2014,143,22377,6.0,0,2012,25,2,2014,3199911.0
אלקבץ 9,24.2.2014,110,16909,5.0,9,1997,24,2,2014,1859990.0
בן סרוק 8,20.2.2014,115,15913,5.0,8,1997,20,2,2014,1829995.0
"הרשב""א 18",20.2.2014,70,20428,3.0,5,1998,20,2,2014,1429960.0
"צ""ג בנות 14",19.2.2014,163,16564,6.0,0,1996,19,2,2014,2699932.0
בורלא 27,18.2.2014,229,13537,7.0,0,1995,18,2,2014,3099973.0
קאפח 3,17.2.2014,65,21230,3.0,12,1970,17,2,2014,1379950.0
1 10,17.2.2014,160,18750,6.0,0,2003,17,2,2014,3000000.0
אלקבץ 3,12.2.2014,120,16125,5.0,4,2005,12,2,2014,1935000.0
השירה העברית 4,12.2.2014,75,17333,3.0,7,1995,12,2,2014,1299975.0
גור 18,9.2.2014,92,16304,4.0,5,2004,9,2,2014,1499968.0
תור הזהב 13,6.2.2014,65,19692,3.0,2,1996,6,2,2014,1279980.0
